Lev	Cernium	Arcs	Odium	Dowonkyung	Arteria	Carcion	Tallahart
0	0	0	0	0	0	0	0
1	36500000	41700000	46900000	52200000	57400000	62600000	113600000
2	91200000	104800000	118500000	132200000	145900000	159600000	293300000
3	160700000	186100000	211500000	236800000	262200000	287600000	535800000
4	241900000	282200000	322500000	362800000	403200000	443500000	837700000
5	331500000	390000000	448500000	507000000	565500000	624000000	1196000000
6	426200000	506100000	586000000	666000000	745900000	825800000	1607200000
7	522900000	627400000	732000000	836600000	941200000	1045800000	2068300000
8	618200000	750700000	883200000	1015600000	1148100000	1280600000	2576000000
9	709000000	872600000	1036200000	1199800000	1363500000	1527100000	3126900000
10	792000000	990000000	1188000000	1386000000	1584000000	1782000000	3718000000
